ts_ssl,uid,id.orig_h_ssl,id.orig_p_ssl,id.resp_h_ssl,id.resp_p_ssl,version,cipher,curve,server_name,resumed,next_protocol,established,ssl_history,cert_chain_fps,client_cert_chain_fps,sni_matches_cert,ja3,ja3s,ts_conn,id.orig_h_conn,id.orig_p_conn,id.resp_h_conn,id.resp_p_conn,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes
7259.082131,C312Jm2lStFidx28zg,10.0.2.15,49314,66.102.1.95,443,TLSv12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,x25519,translate.googleapis.com,False,h2,True,CsxknGIti,"['b3bfc681ef581b9e9fa02d3139a97818c396632710efb97c1c8a65dc43c479af', 'be0ccd54d4cecda1bd5e5d9ecc85a04c2c1f93a5220d77fde88fe9ad081f641b']",[],1.0,656854b0e07f676ae44f8d559744be60,2157c9e56433c78142661ce68e17a9ab,7259.035392,10.0.2.15,49314,66.102.1.95,443,tcp,ssl,24.380740000000515,1014.0,4657.0,SF,True,False,0,ShADadFf,14,1586,17,5341
7259.082838,CCSh874Q88CH5SqYOk,10.0.2.15,49315,173.194.76.94,443,TLSv12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,x25519,clientservices.googleapis.com,False,h2,True,CsxknGIti,"['a1c2d6c1e4f88114d6569adfa2bf66e0cb824d8a18417d77796f6e6d211360f6', 'be0ccd54d4cecda1bd5e5d9ecc85a04c2c1f93a5220d77fde88fe9ad081f641b']",[],1.0,656854b0e07f676ae44f8d559744be60,2157c9e56433c78142661ce68e17a9ab,7259.036679,10.0.2.15,49315,173.194.76.94,443,tcp,ssl,24.38043800000014,1044.0,15623.0,SF,True,False,0,ShADadFf,17,1736,24,16587
7259.031565,CjGPlx3U5ugvoXgMNe,10.0.2.15,49310,216.58.206.14,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,x25519,apis.google.com,False,h2,True,CsxknGIti,"['8e427a7dcdac6ad1e289992dc55696617657be61a8673cd775f7fe906e47f762', 'be0ccd54d4cecda1bd5e5d9ecc85a04c2c1f93a5220d77fde88fe9ad081f641b']",[],1.0,14eff09463c9d6dc6e14e954eba239c2,f09be93fa9d03eabf66fdd359154a3fa,7259.004257,10.0.2.15,49310,216.58.206.14,443,tcp,ssl,15.546637000000374,775.0,3350.0,RSTR,True,False,0,ShADadFRr,10,1187,10,3754
7259.03319,CiXujE1IvzygEizYag,10.0.2.15,49311,172.217.22.99,443,TLSv12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,x25519,ssl.gstatic.com,False,h2,True,CsxknGIti,"['55d1550605b2f1da10945301b5d57a70e4b6b2104c6161aa7f3e77a02776aa81', '9b759d41e3de30f9d2f902027d792b65d950a98bbb6d6d56be7f2528453bf8e9', '3c35cc963eb004451323d3275d05b353235053490d9cd83729a2faf5e7ca1cc0']",[],1.0,14eff09463c9d6dc6e14e954eba239c2,7ce1896a8d7190ee334e3c8ea463b0c1,7259.006378,10.0.2.15,49311,172.217.22.99,443,tcp,ssl,15.54522900000029,775.0,4757.0,RSTR,True,False,0,ShADadFRr,10,1187,10,5161
7259.038268,CBn3Cg1pVzg28BORmc,10.0.2.15,49313,66.102.1.94,443,TLSv12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,x25519,www.gstatic.com,False,h2,True,CsxknGIti,"['5b310fdfe7009d1389aced9647b9b2caa25b17807351adeb46a1126c85ab370d', 'be0ccd54d4cecda1bd5e5d9ecc85a04c2c1f93a5220d77fde88fe9ad081f641b']",[],1.0,14eff09463c9d6dc6e14e954eba239c2,7ce1896a8d7190ee334e3c8ea463b0c1,7259.007708,10.0.2.15,49313,66.102.1.94,443,tcp,ssl,15.544869999999719,775.0,3920.0,RSTO,True,False,0,ShADadFR,9,1147,9,4284
7259.037548,CyOw2FIGzfeFF10i,10.0.2.15,49312,74.125.206.94,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,x25519,www.google.cz,False,h2,True,CsxknGIti,"['6bb77703ba8a9bf155098abd6d858256b814ca071d1115f1530a4b0b1efa396e', 'be0ccd54d4cecda1bd5e5d9ecc85a04c2c1f93a5220d77fde88fe9ad081f641b']",[],1.0,14eff09463c9d6dc6e14e954eba239c2,47ca025b64d08ba38c9d44f228fffbf5,7259.007255,10.0.2.15,49312,74.125.206.94,443,tcp,ssl,15.544604999999137,775.0,3017.0,SF,True,False,0,ShADadfFRr,10,1187,9,3381
7268.589204,CX2a4k4ToMrBH20p6e,10.0.2.15,49317,172.217.22.99,443,TLSv12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,x25519,ssl.gstatic.com,False,h2,True,CsxknGIti,"['55d1550605b2f1da10945301b5d57a70e4b6b2104c6161aa7f3e77a02776aa81', '9b759d41e3de30f9d2f902027d792b65d950a98bbb6d6d56be7f2528453bf8e9', '3c35cc963eb004451323d3275d05b353235053490d9cd83729a2faf5e7ca1cc0']",[],1.0,656854b0e07f676ae44f8d559744be60,2157c9e56433c78142661ce68e17a9ab,7268.567205,10.0.2.15,49317,172.217.22.99,443,tcp,ssl,0.08156400000007101,610.0,4647.0,RSTO,True,False,0,ShADadFR,8,942,9,5011
7268.587946,Ck7GorNHWAqMdZREc,10.0.2.15,49316,172.217.22.99,443,TLSv12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,x25519,ssl.gstatic.com,False,h2,True,CsxknGIti,"['55d1550605b2f1da10945301b5d57a70e4b6b2104c6161aa7f3e77a02776aa81', '9b759d41e3de30f9d2f902027d792b65d950a98bbb6d6d56be7f2528453bf8e9', '3c35cc963eb004451323d3275d05b353235053490d9cd83729a2faf5e7ca1cc0']",[],1.0,656854b0e07f676ae44f8d559744be60,2157c9e56433c78142661ce68e17a9ab,7268.566449,10.0.2.15,49316,172.217.22.99,443,tcp,ssl,14.842671000000337,1072.0,147355.0,SF,True,False,0,ShADadFf,49,3044,117,152039
7274.82137,CtQykz17JqBAk4AXkh,10.0.2.15,49318,52.18.63.80,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp256r1,canarytokens.org,False,,True,CsxknGIti,"['352a7bf2fc2190e4dbfcfdc57713e27d392b420897897d4cbb0d634d8da4fa57', '25847d668eb4f04fdd40b12b6b0740c567da7d024308eb6c2c96fe41d9de218d']",[],1.0,14eff09463c9d6dc6e14e954eba239c2,e35df3e00ca4ef31d42b34bebaa2f86e,7274.780391,10.0.2.15,49318,52.18.63.80,443,tcp,ssl,8.643235999999888,3891.0,106567.0,SF,True,False,0,ShADadFf,48,5823,131,111811
7274.823812,CQOa7a3x3Wy6Xq9BO1,10.0.2.15,49319,52.18.63.80,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp256r1,canarytokens.org,False,,True,CsxknGIti,"['352a7bf2fc2190e4dbfcfdc57713e27d392b420897897d4cbb0d634d8da4fa57', '25847d668eb4f04fdd40b12b6b0740c567da7d024308eb6c2c96fe41d9de218d']",[],1.0,14eff09463c9d6dc6e14e954eba239c2,e35df3e00ca4ef31d42b34bebaa2f86e,7274.780616,10.0.2.15,49319,52.18.63.80,443,tcp,ssl,8.642863000000034,2250.0,173461.0,SF,True,False,0,ShADadtFf,72,5142,200,182885
